step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae
0,10.0,-10.0,0.0,10.0,0.0,0.00041285480256192386,-0.0001844415528466925,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,0.6027537000045413,0.0,0.0,0.00041285480256192386
1,-30.0,30.0,0.006,-30.0,-0.006,0.0011642464669421315,-0.001479655154980719,0.0016055055893957615,0.0014028779696673155,0.00016894694999791682,0.016857700000400655,0.0,0.0,0.00041285480256192386
2,24.110461353420416,-21.12333771243121,-0.00541585532342733,8.796188508343645,0.0018563410753697147,0.0023412839509546757,0.0005270464462228119,-0.007987849414348602,0.0007390129612758756,0.00011122709111077711,0.019583499990403652,0.0,0.0,0.00041285480256192386
3,3.2995054164141298,4.997318522031035,0.00175748120891422,-4.42915879770617,-0.0009523426471050366,0.0005457352963276207,-0.00030115104163996875,0.001643724157474935,3.997617386630736e-05,0.0001980897504836321,0.020324600001913495,0.0,0.0,0.00041285480256192386
4,3.9815346238729505,-29.92423959558793,0.002238923621768552,22.367127371153757,0.000696537587802666,0.00031370544456876814,3.078296867897734e-05,0.000699930009432137,1.971113761101151e-06,0.0005221376777626574,0.014483899998595007,0.0,0.0,0.00031370544456876814
5,24.05572639107845,-1.677935493103857,0.0020320023849352527,18.927662858584075,0.004633814543672685,0.0009309900924563408,0.0019196271896362305,0.00033679831540212035,0.00016958589549176395,0.001297948881983757,0.015913900002487935,0.0,0.0,0.00031370544456876814
6,-17.431522274317956,-0.3158382092148521,0.0006182255433295799,26.849450154121328,0.0007041595169087797,0.0008997466065920889,9.649178537074476e-05,0.002433167537674308,0.0004957398632541299,0.0005735874292440712,0.026592900001560338,0.0,0.0,0.00031370544456876814
7,28.463068170544215,-12.665679034500696,0.0016188795494547225,5.240114404386321,-0.0034380171189166663,0.0008230931125581264,-0.0017575533129274845,0.00022237267694436014,0.0009942963952198625,0.00031815021065995097,0.019100200006505474,0.0,0.0,0.00031370544456876814
8,4.3887908962276825,-23.82650994753974,0.0008050258342099957,-19.40266916265416,-0.006,0.0012388689210638404,-0.003202248364686966,0.0004343763866927475,0.0011266818037256598,0.00019216891087125987,0.018283799989148974,0.0,0.0,0.00031370544456876814
9,16.048830391609915,-25.013791354413197,0.001407675755613619,3.304644047066606,0.0007555993002010819,0.00026458478532731533,-4.7886605898384005e-05,0.00026559128309600055,0.000443740893388167,0.00030112030799500644,0.015475199994398281,0.0,0.0,0.00026458478532731533
10,27.56460276786417,-13.31159557702366,0.0012830821584951819,24.447215154204624,0.0003470708518233626,0.00045423058327287436,-7.081071817083284e-05,-0.00104548002127558,3.603602408475126e-06,0.0006970280664972961,0.02529079999658279,0.0,0.0,0.00026458478532731533
