step,q1,q2,cv,q3,ch,mae,mu_x,mu_y,sigma_x,sigma_y,xopt_runtime,xopt_error,run,best_mae
0,10.0,-10.0,0.0,10.0,0.0,0.00041285480256192386,-0.0001844415528466925,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,0.6139606999931857,0.0,0.0,0.00041285480256192386
1,10.0,-10.0,0.0,10.0,0.0,0.00041285480256192386,-0.0001844415528466925,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,0.08347759999742266,0.0,0.0,0.00041285480256192386
2,10.0,-10.0,0.0,10.0,0.00025,0.000384729792131111,-7.194155477918684e-05,-0.0011707161320373416,0.00011004647240042686,0.00018621508206706494,0.021888200004468672,0.0,0.0,0.000384729792131111
3,10.0,-10.0,0.00025,10.0,0.0,0.0003373622603248805,-0.0001844415528466925,-0.000868746021296829,0.00011004647240042686,0.00018621508206706494,0.02062599999771919,0.0,0.0,0.0003373622603248805
4,10.5,-10.0,0.0,10.0,0.0,0.0004249478515703231,-0.00018451093637850136,-0.001191958668641746,0.00012658270134124905,0.0001967390562640503,0.0196942000038689,0.0,0.0,0.0003373622603248805
5,10.0,-10.5,0.0,10.0,0.0,0.00041301280725747347,-0.00018952706886921078,-0.0011868815636262298,0.00010651804768713191,0.00016912457067519426,0.021345100001781248,0.0,0.0,0.0003373622603248805
6,10.0,-10.0,0.0,10.5,0.0,0.00042052881326526403,-0.00018573529087007046,-0.0011949234176427126,0.00010945566464215517,0.000192000821698457,0.019775000007939525,0.0,0.0,0.0003373622603248805
7,9.5,-10.2,0.0001,10.2,0.0001,0.0003624168748501688,-0.0001419002073816955,-0.0010445613879710436,9.199875057674944e-05,0.00017120715347118676,0.018132999990484677,0.0,0.0,0.0003373622603248805
8,9.8,-10.280000000000001,0.00014,9.580000000000002,0.00014,0.0003440413565840572,-0.0001232374634128064,-0.0009834892116487026,0.0001015858433675021,0.00016785284969955683,0.023226799996336922,0.0,0.0,0.0003373622603248805
9,9.719999999999999,-9.692,0.000196,9.911999999999999,0.000196,0.000323440384818241,-9.283252438763157e-05,-0.0009080951567739248,0.00010309709614375606,0.00018973667465616018,0.016256600007181987,0.0,0.0,0.000323440384818241
10,9.663999999999998,-9.5304,0.00023519999999999997,9.894399999999997,0.00023519999999999997,0.00030550925293937325,-7.348779763560742e-05,-0.0008522953139618039,0.00010246955207549036,0.00019378434808459133,0.02843880000000354,0.0,0.0,0.00030550925293937325
11,9.5856,-10.004160000000002,0.00029008,9.86976,0.00029007999999999996,0.00028083816869184375,-5.355229222914204e-05,-0.0007976014749146998,9.628427505958825e-05,0.00017591466894373298,0.026231299998471513,0.0,0.0,0.00028083816869184375
12,9.50272,-10.004992000000001,0.000348096,9.843712,0.00034809599999999994,0.000254489277722314,-2.737431896093767e-05,-0.0007232220959849656,9.349197353003547e-05,0.00017386874242220074,0.02104009999311529,0.0,0.0,0.000254489277722314
13,9.386688,-10.006156800000003,0.0004293184,9.8072448,7.931839999999991e-05,0.00025700623518787324,-0.00014822508092038333,-0.0006192273576743901,8.956030069384724e-05,0.00017101215780712664,0.02600929999607615,0.0,0.0,0.000254489277722314
14,9.8413632,-9.728619520000002,0.00046104575999999993,9.450142719999999,0.00022104575999999995,0.00023788514954503626,-8.067997259786353e-05,-0.0005779372877441347,0.0001072260201908648,0.00018569726671557873,0.025286600008257665,0.0,0.0,0.00023788514954503626
15,9.909635840000002,-9.634343424000004,0.000533254912,9.300171264,0.0002452549119999999,0.00021339685190469027,-6.838766421424225e-05,-0.00048624855116941035,0.00011042656842619181,0.0001885245874291286,0.02202699999907054,0.0,0.0,0.00021339685190469027
16,9.585217535999998,-9.390356889600003,0.0005783477248000001,9.958211225599996,0.00022314772479999995,0.00020220220903865993,-7.766146154608577e-05,-0.00043267192086204886,0.00010092970478581265,0.00019754571258090436,0.023199999995995313,0.0,0.0,0.00020220220903865993
